stimu,a,b,c,d,N,mean,SD,DFH,pARIs,ΔP,P(E|C),P(C|E)
1,3,3,3,3,12,41.03636364,15.88146326,0.5,0.3333333333,0,0.5,0.5
2,9,3,3,3,18,69.45454545,16.08866427,0.75,0.6,0.25,0.75,0.75
3,3,5,5,5,18,34.03636364,15.84761185,0.375,0.2307692308,-0.125,0.375,0.375
4,9,5,5,5,24,61.96363636,18.20557875,0.6428571429,0.4736842105,0.1428571429,0.6428571429,0.6428571429
5,3,9,3,3,18,26.41818182,17.51157385,0.3535533906,0.2,-0.25,0.25,0.5
6,5,3,5,5,18,53.12727273,20.40066679,0.5590169944,0.3846153846,0.125,0.625,0.5
7,5,9,5,5,24,36.54545455,16.66868675,0.4225771274,0.2631578947,-0.1428571429,0.3571428571,0.5
8,3,3,9,3,18,35.29090909,19.13758444,0.3535533906,0.2,-0.25,0.5,0.25
9,5,5,3,5,18,46.96363636,14.66030624,0.5590169944,0.3846153846,0.125,0.5,0.625
10,5,5,9,5,24,41.67272727,17.35261166,0.4225771274,0.2631578947,-0.1428571429,0.5,0.3571428571
11,3,3,3,9,18,41.07272727,16.56508437,0.5,0.3333333333,0.25,0.5,0.5
12,5,5,5,3,18,44.8,13.17461082,0.5,0.3333333333,-0.125,0.5,0.5
13,5,5,5,9,24,42.85454545,15.24542212,0.5,0.3333333333,0.1428571429,0.5,0.5
